date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250301,01/03 17:14,4868542,stratis,1075871,Kho Aug Ori Seb Isa Aur,4252976,rmh,1046828,Dan Neb Ori Aug Dor Kho,20,Alb(11064) Mer(11064) Oli(11064) Axe(11064) Cai(11064),Cai(11064)  ###  Bis(11064) Alb(11064) Mer(11064),183303,36766
20250301,01/03 16:10,4425955,Tobi,1056434,Kho Dor Hei Seb Isa Dan,4450374,NoOne,886380,Dan Neb Ori Aug Dor Kho,20,Axe(11064) Alb(11064) Fen(5197) Oli(11064) Cai(10154),Cai(11064)  ###  Bis(6676) Alb(11064) Axe(11064),183303,36766
20250301,01/03 12:19,23402789,Ragto,1143627,Axe Dor Iri Hei Mor Krv,4482917,Team ZERO-YEN,1181402,Ruf Isa Jhu Seb Mar Kho,20,Axe(11064) Bis(11064) Cai(10686) Oli(11064) Alb(11064),Oli(11064) Mar(11064) Fen(11064) Alb(11064) Axe(11064),183303,36766
20250301,01/03 19:12,4750576,NoCanDo,1090877,Axe Mar Pho Iri Mor Dan,4507528,Zugami,1044570,Krv Jhu Neb Seb Mar Axe,20,Axe(10994) Kho(11064) Bis(9692) Oli(11064) Cai(11064),Oli(11064) Fen(11064) Cai(10296) Alb(11064) Axe(11064),183303,36766
20250301,01/03 14:08,4598759,Rompehuesos,1095768,Kho Mar The Yas Mus Ruf,4684732,Team Diabolic,1118922,Ara Dan Isa Seb The Axe,20,Oli(11064) Mer(11064) Cai(11064) Axe(11064) Bis(11064),Mar(11064) Cai(11064) Oli(11064) Alb(11064) Axe(11064),183303,36766
20250301,01/03 16:15,4425955,Tobi,1056970,Kho Dor Hei Seb Isa Dan,4828168,Team 4828168,1037413,Dan Neb Ori Aug Dor Kho,20,Axe(11064) Alb(11064) Fen(5197) Oli(11064) Cai(10154),Cai(11064)  ###  Bis(7804) Alb(11064) Mer(7804),183303,36766
20250301,01/03 15:25,4454896,Team D,1131492,Axe Aug Ori Seb Isa Aur,20923407,Shiri,1011042,Dan Neb Ori Aug Dor Kho,20,Kho(11064) Axe(11064) Fen(6756) Oli(11064) Cai(11064),Cai(11064)  ###  Bis(11064) Alb(11064) Mer(11064),183303,36766
20250301,01/03 19:20,4750576,NoCanDo,1019496,Axe Faf Iri Hei Seb Dan,20923589,Dropped,1061177,Aur Dan Neb Seb Aid Axe,20,Mar(9018) Bis(9692) Alb(11064) Oli(11064) Cai(11064),Oli(11064) Cai(11064)  ###  Fen(9428) Kho(11064),183303,36766
20250301,01/03 19:30,4178114,Master,1117842,Axe Mar Iri Mor Yas Krv,36243331,Seymour,1111162,Aur Ara Seb LaC Mar Axe,20,Oli(11064) Bis(9428) Axe(11064) Fen(9428) Alb(9428),Bis(10114) Mar(10114) Alb(11064) Vex(11064)  ###,183303,36766
20250301,01/03 19:30,4178114,Master,1117842,Axe Mar Iri Mor Yas Krv,4552957,Skeggia,1167545,Krv Ish Mor Seb Faf Axe,11,Oli(11064) Bis(9428) Axe(11064) Fen(9428) Alb(9428),Bis(11064) Fen(11064) Axe(11064) Alb(11064) Mar(11064),183303,36766
20250301,01/03 17:13,4868542,stratis,1075871,Kho Aug Ori Seb Isa Aur,4816145,Team 4816145,1056536,Dan Neb Ori Aug Dor Kho,5,Alb(11064) Mer(11064) Oli(11064) Axe(11064) Cai(11064),Cai(11064)  ###  Bis(5153) Alb(11064) Mer(4773),183303,36766
20250301,01/03 19:37,4292840,Mangas,1156961,Cai LaC Seb Neb Yas Krv,4552957,Skeggia,1167545,Krv Ish Mor Seb Faf Axe,1,Vex(10154) Alb(11064) Cai(11064) Fen(11064) Oli(11064),Bis(11064) Fen(11064) Axe(11064) Alb(11064) Mar(11064),183303,36766
20250228,28/02 15:47,4425955,Tobi,1112870,Kho Mar Hei Neb Isa Ast,4181126,Сварог,1131694,Aur Kri Cel Jor Lrs Axe,20,###  Alb(11064) Cai(10154) Oli(11064) Axe(11064),Cai(11064) Mer(11064) Axe(11064) Oli(7804) Kho(11064),183303,38247
20250228,28/02 17:43,4750576,NoCanDo,1033746,Axe Faf Iri Hei Dan Krv,4231064,SASh,1080565,Aur Isa Seb LaC Dor Kho,20,Mar(9018) Bis(9692) Alb(11064) Cai(11064) Oli(11064),Cai(11064) Oli(11064) Alb(11064) Vex(11064) Axe(11064),183303,38247
20250228,28/02 20:13,4598759,Rompehuesos,1111313,Axe Mar The Yas Mus Ruf,4362648,Oberon,1075557,Ast Isa Ori Iri Mar Axe,20,Oli(11064) Mer(11064) Cai(11064) Axe(11064) Bis(11064),Oli(11064) Mar(11064) Kho(8108) Bis(11064) Axe(11064),183303,38247
20250228,28/02 20:05,4868542,stratis,1081691,Kho Aug Ori Dan Ara Aur,4378306,Ставр,1128074,Dan Neb Hei LaC Iri Kho,20,Alb(11064) Mer(11064) Fen(6965) Axe(11064) Cai(11064),Cai(11064)  ###  Alb(11064) Vex(11064) Oli(11064),183303,38247
20250228,28/02 17:37,4750576,NoCanDo,1100762,Axe Iri Hei Mor Dan Krv,4825751,Falcon Nix,1115726,Ruf Seb Hei Iri Mar Axe,20,Bis(9692) Alb(11064) Axe(10924) Cai(11064) Oli(11064),Bis(6905) Alb(11064) Cai(11064) Oli(11064) Axe(11064),183303,38247
20250228,28/02 17:17,4454896,Team D,1127749,Kho Jet Hei Seb Neb Dan,5479702,Dad dancer,1182810,Dan Isa Seb LaC Lia Axe,20,###  Axe(11064) Oli(11064)  ###  Cai(11064),Cai(11064) Mar(9020) Oli(11064) Vex(9428) Alb(11064),183303,38247
20250228,28/02 19:40,4339929,Zulu,1068070,Axe Mar Iri Seb Neb Dan,6132268,Chuvak64,1119842,Krv Yas Isa Seb Mar Axe,20,Axe(11064) Oli(6484) Alb(9018)  ###  Cai(10154),Bis(11064) Cai(11064) Oli(11064) Alb(11064) Axe(11064),183303,38247
20250228,28/02 17:28,4668830,TrumpReturns,1089051,Axe LaC Seb Isa K'A Aur,11460409,Уникум,1048773,Neb Ori Aug Aid Dor Kho,20,Mar(9018) Alb(11064) Oli(9018) Vex(11064) Cai(11064),Cai(11064) Axe(11064) Alb(11064) Kho(11064) Mer(11064),183303,38247
